Taxa1	Taxa1Imp	Taxa2	Taxa2Imp	Correlation
0	0.6284935304280347	4	0.2715697071470275	-0.7636363636363637
0	0.6284935304280347	9	0.9307915432153822	0.7181818181818183
0	0.6284935304280347	10	0.5889668970642952	-0.8636363636363636
0	0.6284935304280347	12	0.882026773662719	-0.6909090909090909
0	0.6284935304280347	16	0.9132972982881752	-0.7272727272727273
0	0.6284935304280347	18	0.8744480264313471	-0.9181818181818181
0	0.6284935304280347	20	0.26118766502473356	-0.7636363636363637
0	0.6284935304280347	21	0.9797820212701903	-0.8272727272727273
0	0.6284935304280347	33	0.7987013381771129	-0.7454545454545454
0	0.6284935304280347	35	0.15677728013782755	0.6970405327946539
0	0.6284935304280347	0	0.6284935304280347	0
1	0.012706138132635634	19	0.05997122765619169	-0.7363636363636363
1	0.012706138132635634	1	0.012706138132635634	0
2	0.22571317436957783	17	0.12446535041712088	-0.6818181818181818
2	0.22571317436957783	25	0.2442184369315645	0.7517103785040385
2	0.22571317436957783	42	0.494852547905018	-0.6181818181818182
2	0.22571317436957783	45	0.11880093120858881	-0.6330541649476574
2	0.22571317436957783	47	0.12317560097497245	-0.6067798762169179
2	0.22571317436957783	55	0.12317560097497245	-0.6067798762169179
2	0.22571317436957783	60	0.1088241559184135	0.6607158652139773
2	0.22571317436957783	2	0.22571317436957783	0
3	0.10403225938243879	24	0.16243679373948938	0.6545454545454545
3	0.10403225938243879	43	0.3861838857136273	0.6788172508915258
3	0.10403225938243879	44	0.045057079806545615	0.7272727272727273
3	0.10403225938243879	3	0.10403225938243879	0
4	0.2715697071470275	9	0.9307915432153822	-0.7363636363636363
4	0.2715697071470275	37	0.10659208157054696	0.6545454545454545
4	0.2715697071470275	38	0.04686539482694394	0.8073734277593312
4	0.2715697071470275	46	0.7916631857485323	0.6330541649476574
4	0.2715697071470275	58	0.08390185058285092	-0.6212247398354255
4	0.2715697071470275	4	0.2715697071470275	0
5	0.15636772281488326	7	0.2484251341553583	0.6363636363636364
5	0.15636772281488326	25	0.2442184369315645	0.797268583261859
5	0.15636772281488326	52	0.344834563079164	0.6301525577106744
5	0.15636772281488326	58	0.08390185058285092	-0.6738709042282581
5	0.15636772281488326	5	0.15636772281488326	0
6	0.3811793773405556	9	0.9307915432153822	-0.6909090909090909
6	0.3811793773405556	10	0.5889668970642952	0.6181818181818182
6	0.3811793773405556	21	0.9797820212701903	0.6818181818181818
6	0.3811793773405556	33	0.7987013381771129	0.7545454545454546
6	0.3811793773405556	6	0.3811793773405556	0
7	0.2484251341553583	25	0.2442184369315645	0.6605939689883975
7	0.2484251341553583	31	0.4821464451178537	0.6454545454545454
7	0.2484251341553583	41	0.36368739522662136	0.6187719999149831
7	0.2484251341553583	52	0.344834563079164	0.7862453931068965
7	0.2484251341553583	7	0.2484251341553583	0
8	0.7595162375787944	9	0.9307915432153822	-0.7181818181818183
8	0.7595162375787944	16	0.9132972982881752	0.7272727272727273
8	0.7595162375787944	21	0.9797820212701903	0.6909090909090909
8	0.7595162375787944	26	1.0	0.7545454545454546
8	0.7595162375787944	27	0.21955111027873145	0.7545454545454546
8	0.7595162375787944	33	0.7987013381771129	0.7181818181818183
8	0.7595162375787944	42	0.494852547905018	0.7818181818181817
8	0.7595162375787944	43	0.3861838857136273	0.6469265075610513
8	0.7595162375787944	48	0.22346457428366942	-0.7025155788508455
8	0.7595162375787944	54	0.7466872444888875	-0.6146451803997961
8	0.7595162375787944	56	0.5817273186437889	0.642034105174945
8	0.7595162375787944	8	0.7595162375787944	0
9	0.9307915432153822	10	0.5889668970642952	-0.7545454545454546
9	0.9307915432153822	11	0.29140744610868985	-0.6272727272727273
9	0.9307915432153822	12	0.882026773662719	-0.6909090909090909
9	0.9307915432153822	16	0.9132972982881752	-0.7909090909090909
9	0.9307915432153822	18	0.8744480264313471	-0.6545454545454545
