Taxa1	Taxa1Imp	Taxa2	Taxa2Imp	Correlation
0	0.46975423005633793	7	0.2691500578715143	-0.7272727272727274
0	0.46975423005633793	10	0.8106120505383381	-0.7062937062937064
0	0.46975423005633793	12	0.3688844182963098	-0.7552447552447553
0	0.46975423005633793	26	0.753784366433642	-0.6643356643356645
0	0.46975423005633793	41	0.41291726333496986	-0.5804195804195805
0	0.46975423005633793	0	0.46975423005633793	0
1	0.11636641419055974	41	0.41291726333496986	0.5944055944055945
1	0.11636641419055974	1	0.11636641419055974	0
2	0.03426907644331912	45	0.0356543666387618	-0.632389843979487
2	0.03426907644331912	2	0.03426907644331912	0
3	0.2914261394995831	27	0.2905708240969119	0.6433566433566434
3	0.2914261394995831	32	0.3047976610967113	0.5849396010625192
3	0.2914261394995831	35	0.3449372331937104	-0.6308489919164726
3	0.2914261394995831	56	0.41511702811166	-0.5966316551046772
3	0.2914261394995831	3	0.2914261394995831	0
4	0.44101550001084283	11	0.35945870323144496	-0.6223776223776225
4	0.44101550001084283	13	0.25943177303989706	-0.7915949092223313
4	0.44101550001084283	19	0.5512952488003001	-0.6339764538462034
4	0.44101550001084283	29	0.4213959856538219	-0.5915639647713589
4	0.44101550001084283	53	0.5723706821048987	-0.5848497713881176
4	0.44101550001084283	4	0.44101550001084283	0
5	0.4267477891319569	11	0.35945870323144496	0.6433566433566434
5	0.4267477891319569	19	0.5512952488003001	0.6024527627709778
5	0.4267477891319569	27	0.2905708240969119	-0.6363636363636365
5	0.4267477891319569	29	0.4213959856538219	0.6549458181397189
5	0.4267477891319569	41	0.41291726333496986	0.7132867132867134
5	0.4267477891319569	5	0.4267477891319569	0
6	0.0	6	0.0	0
7	0.2691500578715143	12	0.3688844182963098	0.7272727272727274
7	0.2691500578715143	41	0.41291726333496986	0.6083916083916084
7	0.2691500578715143	42	0.1765324778275392	-0.704029100680038
7	0.2691500578715143	7	0.2691500578715143	0
8	0.23268447976155654	15	0.14124734965586913	-0.5944055944055945
8	0.23268447976155654	19	0.5512952488003001	0.7250448947301883
8	0.23268447976155654	44	0.2711805923541971	0.7530659534637223
8	0.23268447976155654	48	0.11777717446803339	-0.6264336956357558
8	0.23268447976155654	8	0.23268447976155654	0
9	0.5046782807830391	20	0.43640342021293016	-0.5954474980875943
9	0.5046782807830391	21	0.6430155832594808	-0.6900185713132712
9	0.5046782807830391	43	0.37453011482708864	-0.7017543859649125
9	0.5046782807830391	46	0.27359079963165284	-0.5819690923140577
9	0.5046782807830391	49	0.31100348376597686	-0.7154890273181252
9	0.5046782807830391	51	0.32966270945811976	-0.5774759154496544
9	0.5046782807830391	56	0.41511702811166	-0.5838849039503303
9	0.5046782807830391	9	0.5046782807830391	0
10	0.8106120505383381	12	0.3688844182963098	0.7412587412587414
10	0.8106120505383381	16	1.0	0.8321678321678323
10	0.8106120505383381	18	0.8421067833013548	0.7132867132867134
10	0.8106120505383381	24	0.8996623534561877	0.6293706293706295
10	0.8106120505383381	26	0.753784366433642	0.7412587412587414
10	0.8106120505383381	30	0.3887555509782088	0.6293706293706295
10	0.8106120505383381	36	0.670648462281148	0.6115875464801618
10	0.8106120505383381	37	0.5716184541194294	0.9090909090909093
10	0.8106120505383381	10	0.8106120505383381	0
11	0.35945870323144496	19	0.5512952488003001	0.6199659244794364
11	0.35945870323144496	27	0.2905708240969119	-0.6573426573426574
11	0.35945870323144496	11	0.35945870323144496	0
12	0.3688844182963098	26	0.753784366433642	0.6153846153846154
12	0.3688844182963098	12	0.3688844182963098	0
13	0.25943177303989706	26	0.753784366433642	-0.5849396010625192
13	0.25943177303989706	35	0.3449372331937104	0.7844955832523607
13	0.25943177303989706	13	0.25943177303989706	0
14	0.08617401635026473	56	0.41511702811166	0.6305476678616639
14	0.08617401635026473	14	0.08617401635026473	0
15	0.14124734965586913	39	0.0628113972217044	0.6573426573426574
15	0.14124734965586913	48	0.11777717446803339	0.6549079545282901
15	0.14124734965586913	15	0.14124734965586913	0
16	1.0	18	0.8421067833013548	0.6713286713286714
16	1.0	21	0.6430155832594808	0.6153846153846154
16	1.0	24	0.8996623534561877	0.6433566433566434
16	1.0	26	0.753784366433642	0.6923076923076924
16	1.0	28	0.6027958169803369	0.6083699119739772
16	1.0	33	0.5075093561192472	0.6503496503496504
16	1.0	36	0.670648462281148	0.7488827099757084
16	1.0	37	0.5716184541194294	0.8111888111888113
16	1.0	55	0.4341272624013295	0.5926477683399591
16	1.0	16	1.0	0
17	0.12835858868045588	30	0.3887555509782088	-0.6433566433566434
17	0.12835858868045588	43	0.37453011482708864	-0.742558056438647
17	0.12835858868045588	17	0.12835858868045588	0
18	0.8421067833013548	20	0.43640342021293016	0.5804195804195805
18	0.8421067833013548	24	0.8996623534561877	0.6083916083916084
18	0.8421067833013548	26	0.753784366433642	0.6083916083916084
18	0.8421067833013548	28	0.6027958169803369	0.6307638964638167
18	0.8421067833013548	37	0.5716184541194294	0.6783216783216784
18	0.8421067833013548	51	0.32966270945811976	0.754118335164519
18	0.8421067833013548	18	0.8421067833013548	0
19	0.5512952488003001	29	0.4213959856538219	0.691367702087579
19	0.5512952488003001	32	0.3047976610967113	-0.5859649122807018
19	0.5512952488003001	53	0.5723706821048987	0.5936865908170254
19	0.5512952488003001	19	0.5512952488003001	0
20	0.43640342021293016	24	0.8996623534561877	0.6293706293706295
20	0.43640342021293016	20	0.43640342021293016	0
21	0.6430155832594808	33	0.5075093561192472	0.7692307692307694
21	0.6430155832594808	43	0.37453011482708864	0.7390554240969553
21	0.6430155832594808	49	0.31100348376597686	0.638100129754593
21	0.6430155832594808	51	0.32966270945811976	0.7323649216501578
21	0.6430155832594808	53	0.5723706821048987	0.577051774436276
21	0.6430155832594808	21	0.6430155832594808	0
22	0.056819144048370115	42	0.1765324778275392	-0.6014982564856705
22	0.056819144048370115	22	0.056819144048370115	0
23	0.047309132686255834	60	0.186473414405139	0.7611646165718612
23	0.047309132686255834	23	0.047309132686255834	0
24	0.8996623534561877	28	0.6027958169803369	0.6494255502053498
24	0.8996623534561877	35	0.3449372331937104	-0.6018444405639911
24	0.8996623534561877	36	0.670648462281148	0.5907852489808365
24	0.8996623534561877	37	0.5716184541194294	0.6993006993006995
24	0.8996623534561877	24	0.8996623534561877	0
25	0.05604982283511959	31	0.22046932270009512	-0.6993006993006995
25	0.05604982283511959	25	0.05604982283511959	0
